Seed,team_name,team_id,total_games_played,total_wins,total_losses,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
M4,Kansas Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,31,23,8,0.7838,0.6375,0.6741,6275.0,844,1820,1166,612,6275.0,0.525,232,654,0.355,103,424,610,0.695,282,803,1085,416,415,1.0,211,116,531,3,2344,265,4,478,334,0,11,1050,2595,2088.4,0.561,8.55,15.42,10.77,202.4,75.6,9.1,25.9,35.0,13.4,6.81,3.74,13.39,17.13,0.13,3.32,27.23,58.71,7.48,21.1,13.68,19.68,19.74,37.61,33.87,83.71,67.37
M14,Georgia State Panthers,94ea835b-8ce9-4de2-a5b1-971548fea974,31,21,9,0.7422,0.4988,0.5596,6200.0,848,1804,1016,538,6200.0,0.53,310,788,0.393,23,405,617,0.656,220,702,922,393,358,1.1,249,146,538,14,2411,309,0,540,266,0,0,970,2595,2075.48,0.581,9.97,17.42,8.58,200.0,77.8,7.1,22.65,29.74,12.7,8.03,4.71,11.55,17.35,0.0,0.74,27.35,58.19,10.0,25.42,13.06,19.9,17.35,32.77,31.29,83.71,66.95
W15,Montana Grizzlies,e3848467-66c0-41e5-8283-02e3586d8601,31,21,8,0.7518,0.4902,0.5556,6225.0,866,1746,1076,611,6225.0,0.568,255,670,0.381,6,398,580,0.686,218,724,942,452,375,1.21,203,91,585,9,2385,140,0,483,277,0,1,1030,2636,2001.2,0.596,4.52,15.58,8.94,200.8,76.9,7.03,23.35,30.39,14.6,6.55,2.94,12.1,18.87,0.0,0.19,27.94,56.32,8.23,21.61,12.84,18.71,19.71,34.71,33.23,85.03,64.55
E9,UCF Knights,054c3e85-0552-4549-b123-7e84af6e7b6c,30,23,7,0.7661,0.5396,0.5962,6025.0,746,1599,1023,541,6025.0,0.529,205,576,0.356,82,484,748,0.647,241,744,985,404,349,1.16,172,133,504,6,2181,363,7,411,323,0,9,898,2409,1928.12,0.566,12.1,13.7,10.77,200.8,72.7,8.03,24.8,32.83,13.5,5.73,4.43,11.63,16.8,0.23,2.73,24.87,53.3,6.83,19.2,16.13,24.93,18.03,34.1,29.93,80.3,64.27
M3,Houston Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486,31,29,2,0.927,0.543,0.639,6200.0,830,1842,1046,540,6200.0,0.516,290,796,0.364,60,419,589,0.711,331,810,1141,469,360,1.3,204,136,585,10,2369,434,2,491,375,0,11,882,2777,2101.16,0.564,14.0,15.84,12.1,200.0,76.4,10.68,26.13,36.81,15.1,6.58,4.39,11.61,18.87,0.06,1.94,26.77,59.42,9.35,25.68,13.52,19.0,17.42,33.74,28.45,89.58,67.78
S7,Cincinnati Bearcats,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,31,25,6,0.8045,0.5366,0.6036,6250.0,766,1778,1184,561,6250.0,0.474,205,594,0.345,117,484,680,0.712,331,692,1023,423,333,1.27,199,140,507,7,2221,280,1,468,430,0,7,836,2465,2077.2,0.535,9.03,15.1,13.87,201.6,71.6,10.68,22.32,33.0,13.6,6.42,4.52,10.74,16.35,0.03,3.77,24.71,57.35,6.61,19.16,15.61,21.94,18.1,38.19,26.97,79.52,67.01
M7,Wofford Terriers,9916713f-b243-452b-93ae-a2c3ccabf68b,33,26,4,0.8889,0.5124,0.6066,6650.0,997,2022,1148,633,6650.0,0.551,364,874,0.416,34,381,545,0.699,326,791,1117,507,359,1.41,227,99,558,3,2739,338,0,527,435,0,4,1062,3141,2261.8,0.605,10.24,15.97,13.18,201.5,83.0,9.88,23.97,33.85,15.4,6.88,3.0,10.88,16.91,0.0,1.03,30.21,61.27,11.03,26.48,11.55,16.52,19.18,34.79,32.18,95.18,68.54
S13,UC Irvine Anteaters,39d00ef7-320d-47cf-a2fa-859bc24d16b4,32,26,5,0.8428,0.4764,0.568,6500.0,859,1888,1276,640,6500.0,0.502,219,612,0.358,18,384,560,0.686,329,866,1195,426,383,1.11,179,138,605,7,2321,325,0,397,412,0,5,1052,2671,2134.4,0.544,10.16,12.41,12.88,203.1,72.5,10.28,27.06,37.34,13.3,5.59,4.31,11.97,18.91,0.0,0.56,26.84,59.0,6.84,19.13,12.0,17.5,20.0,39.88,32.88,83.47,66.7
S14,Old Dominion Monarchs,ce967953-5c50-4220-87b2-99acb9606e84,31,23,8,0.741,0.481,0.546,6200.0,739,1790,1107,496,6200.0,0.448,243,683,0.356,12,351,540,0.65,327,792,1119,399,365,1.09,177,139,510,2,2072,219,0,372,351,0,0,821,2301,2027.6,0.511,7.06,12.0,11.32,200.0,66.8,10.55,25.55,36.1,12.9,5.71,4.48,11.77,16.45,0.0,0.39,23.84,57.74,7.84,22.03,11.32,17.42,16.0,35.71,26.48,74.23,65.41
M12,New Mexico State Aggies,5016fe1a-9571-4d10-bf5b-b9c1b496bd57,31,25,4,0.8667,0.5036,0.5944,6225.0,846,1858,1008,566,6225.0,0.562,280,850,0.329,14,431,639,0.674,382,764,1146,455,369,1.23,180,80,562,6,2403,317,0,460,428,0,0,1008,2675,2139.16,0.562,10.23,14.84,13.81,200.8,77.5,12.32,24.65,36.97,14.7,5.81,2.58,11.9,18.13,0.0,0.45,27.29,59.94,9.03,27.42,13.9,20.61,18.26,32.52,32.52,86.29,69.01
M15,Abilene Christian Wildcats,a52b2ece-1f87-45b5-ae1e-8d0920479965,31,21,6,0.8045,0.4255,0.5202,6250.0,828,1750,1145,593,6250.0,0.518,235,605,0.388,5,421,590,0.714,275,673,948,488,372,1.31,266,85,584,1,2312,174,0,607,337,0,3,979,2636,2009.6,0.575,5.61,19.58,10.87,201.6,74.6,8.87,21.71,30.58,15.7,8.58,2.74,12.0,18.84,0.0,0.16,26.71,56.45,7.58,19.52,13.58,19.03,19.13,36.94,31.58,85.03,64.83
E16,North Carolina Central Eagles,e4c315a0-e83f-4d14-856e-34a0463059e3,30,12,15,0.4954,0.4135,0.434,6025.0,782,1713,1099,587,6025.0,0.534,195,614,0.318,15,406,566,0.717,301,724,1025,469,464,1.01,191,83,541,3,2165,277,0,493,330,0,2,1038,2378,1962.04,0.552,9.23,16.43,11.0,200.8,72.2,10.03,24.13,34.17,15.6,6.37,2.77,15.47,18.03,0.0,0.5,26.07,57.1,6.5,20.47,13.53,18.87,19.57,36.63,34.6,79.27,65.4
E4,Virginia Tech Hokies,324ccccc-575b-4b82-acb0-fbb8e68da13b,30,23,7,0.7698,0.5562,0.6096,6025.0,771,1620,887,479,6025.0,0.54,292,733,0.398,90,400,525,0.762,228,658,886,463,345,1.34,202,68,462,6,2234,307,5,499,286,0,11,848,2534,1851.0,0.603,10.23,16.63,9.53,200.8,74.5,7.6,21.93,29.53,15.4,6.73,2.27,11.5,15.4,0.17,3.0,25.7,54.0,9.73,24.43,13.33,17.5,15.97,29.57,28.27,84.47,61.7
S1,Virginia Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,30,28,2,0.9286,0.5615,0.6533,6025.0,773,1614,996,517,6025.0,0.519,256,618,0.414,82,362,485,0.746,233,750,983,438,272,1.61,169,119,433,2,2164,144,1,386,324,0,3,844,2637,1827.4,0.592,4.8,12.87,10.8,200.8,72.1,7.77,25.0,32.77,14.6,5.63,3.97,9.07,14.43,0.03,2.73,25.77,53.8,8.53,20.6,12.07,16.17,17.23,33.2,28.13,87.9,60.91
W8,Syracuse Orange,8cd24de1-2be8-4b77-bcfa-47be0495a5f4,31,19,12,0.5586,0.5852,0.5786,6225.0,739,1750,1004,498,6225.0,0.496,241,746,0.323,98,437,640,0.683,276,691,967,375,381,0.98,254,149,537,3,2156,245,3,569,300,0,17,763,2306,2031.6,0.531,7.9,18.35,9.68,200.8,69.5,8.9,22.29,31.19,12.1,8.19,4.81,12.29,17.32,0.1,3.16,23.84,56.45,7.77,24.06,14.1,20.65,16.06,32.39,24.61,74.39,65.54
E7,Louisville Cardinals,b795ddbc-baab-4499-8803-52e8608520ab,31,19,12,0.5789,0.5997,0.5945,6300.0,775,1776,1007,510,6300.0,0.506,265,769,0.345,109,500,647,0.773,269,834,1103,410,389,1.05,143,88,534,7,2315,247,2,383,318,0,8,868,2522,2060.68,0.562,7.97,12.35,10.26,203.2,74.7,8.68,26.9,35.58,13.2,4.61,2.84,12.55,17.23,0.06,3.52,25.0,57.29,8.55,24.81,16.13,20.87,16.45,32.48,28.0,81.35,66.47
W4,Florida State Seminoles,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,31,25,6,0.8168,0.5689,0.6309,6275.0,811,1818,1125,582,6275.0,0.517,229,693,0.33,91,499,679,0.735,319,758,1077,406,417,0.97,224,134,602,7,2350,295,6,513,367,0,9,1034,2587,2116.76,0.555,9.52,16.55,11.84,202.4,75.8,10.29,24.45,34.74,13.1,7.23,4.32,13.45,19.42,0.19,2.94,26.16,58.65,7.39,22.35,16.1,21.9,18.77,36.29,33.35,83.45,68.28
M1,North Carolina Tar Heels,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,31,26,5,0.8212,0.5944,0.6511,6225.0,964,2069,1324,686,6225.0,0.518,278,745,0.373,148,478,645,0.741,349,904,1253,598,414,1.44,227,113,534,0,2684,393,3,528,459,0,5,1106,3189,2352.8,0.57,12.68,17.03,14.81,200.8,86.6,11.26,29.16,40.42,19.3,7.32,3.65,13.35,17.23,0.1,4.77,31.1,66.74,8.97,24.03,15.42,20.81,22.13,42.71,35.68,102.87,75.9
E1,Duke Blue Devils,faeb1160-5d15-4f26-99fc-c441cf21fc7f,31,26,5,0.8201,0.5984,0.6538,6225.0,950,1999,1238,717,6225.0,0.579,233,761,0.306,102,475,689,0.689,385,845,1230,499,404,1.24,294,216,489,2,2608,513,0,583,438,0,6,1294,3180,2302.16,0.566,16.55,18.81,14.13,200.8,84.1,12.42,27.26,39.68,16.1,9.48,6.97,13.03,15.77,0.0,3.29,30.65,64.48,7.52,24.55,15.32,22.23,23.13,39.94,41.74,102.58,74.26
E12,Liberty Flames,559db90c-741f-40d1-aa81-3fdd1d4889f3,34,25,6,0.8231,0.4596,0.5505,6800.0,921,1878,1061,621,6800.0,0.585,300,817,0.367,22,374,485,0.771,222,804,1026,505,373,1.35,217,91,513,1,2516,131,0,457,243,0,1,962,2914,2091.4,0.602,3.85,13.44,7.15,200.0,74.0,6.53,23.65,30.18,14.9,6.38,2.68,10.97,15.09,0.0,0.65,27.09,55.24,8.82,24.03,11.0,14.26,18.26,31.21,28.29,85.71,61.51
S15,Colgate Raiders,80a19b57-d6ab-4bee-934f-33a72c2e958a,33,22,10,0.75,0.4736,0.5427,6675.0,900,1887,1122,607,6675.0,0.541,293,765,0.383,27,391,528,0.741,274,806,1080,513,429,1.2,201,117,515,2,2484,227,0,471,301,0,1,1096,2842,2119.32,0.586,6.88,14.27,9.12,202.3,75.3,8.3,24.42,32.73,15.5,6.09,3.55,13.0,15.61,0.0,0.82,27.27,57.18,8.88,23.18,11.85,16.0,18.39,34.0,33.21,86.12,64.22
S16,Gardner-Webb Runnin' Bulldogs,79871449-f5a1-4650-b3cf-85b78fd6943e,34,20,11,0.7218,0.456,0.5224,6950.0,933,1912,1216,661,6950.0,0.544,272,696,0.391,28,524,737,0.711,226,837,1063,492,391,1.26,233,99,545,5,2662,280,2,530,293,0,3,1240,2966,2236.28,0.595,8.24,15.59,8.62,204.4,78.3,6.65,24.62,31.26,14.5,6.85,2.91,11.5,16.03,0.06,0.82,27.44,56.24,8.0,20.47,15.41,21.68,19.44,35.76,36.47,87.24,65.77
W14,Northern Kentucky Norse,ab9a1315-293f-42d3-a164-860216e81576,33,24,8,0.7879,0.4631,0.5443,6650.0,927,1929,1127,638,6650.0,0.566,289,802,0.36,23,470,704,0.668,310,816,1126,559,413,1.35,209,133,626,7,2613,501,0,535,378,0,3,1192,2991,2238.76,0.584,15.18,16.21,11.45,201.5,79.2,9.39,24.73,34.12,16.9,6.33,4.03,12.52,18.97,0.0,0.7,28.09,58.45,8.76,24.3,14.24,21.33,19.33,34.15,36.12,90.64,67.84
W7,Nevada Wolf Pack,62a73b4a-e281-4483-a1f8-f1160a18e456,31,28,3,0.9343,0.5148,0.6197,6200.0,857,1832,1047,580,6200.0,0.554,277,785,0.353,76,538,757,0.711,245,834,1079,468,317,1.48,197,121,530,12,2529,297,2,518,326,0,14,991,2883,2165.08,0.584,9.58,16.71,10.52,200.0,81.6,7.9,26.9,34.81,15.1,6.35,3.9,10.23,17.1,0.06,2.45,27.65,59.1,8.94,25.32,17.35,24.42,18.71,33.77,31.97,93.0,69.84
M8,Utah State Aggies,7672ff16-8436-47e6-8546-0fb5494ec7ee,31,24,6,0.8235,0.5302,0.6035,6250.0,863,1819,1130,620,6250.0,0.549,243,689,0.353,98,483,647,0.747,283,862,1145,532,385,1.38,194,131,583,6,2452,238,0,473,362,0,10,1060,2949,2103.68,0.583,7.68,15.26,11.68,201.6,79.1,9.13,27.81,36.94,17.2,6.26,4.23,12.42,18.81,0.0,3.16,27.84,58.68,7.84,22.23,15.58,20.87,20.0,36.45,34.19,95.13,67.86
M5,Auburn Tigers,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,31,21,9,0.6967,0.5738,0.6045,6250.0,857,1909,994,514,6250.0,0.517,343,915,0.375,112,425,603,0.705,337,665,1002,453,390,1.16,284,150,577,8,2482,354,4,699,367,0,13,946,2751,2174.32,0.571,11.42,22.55,11.84,201.6,80.1,10.87,21.45,32.32,14.6,9.16,4.84,12.58,18.61,0.13,3.61,27.65,61.58,11.06,29.52,13.71,19.45,16.58,32.06,30.52,88.74,70.14
M2,Kentucky Wildcats,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,31,26,5,0.8296,0.5774,0.6405,6225.0,820,1720,1199,633,6225.0,0.528,187,521,0.359,91,554,746,0.743,319,802,1121,425,395,1.08,186,154,500,6,2381,294,3,516,355,0,9,1046,2780,2048.24,0.581,9.48,16.65,11.45,200.8,76.8,10.29,25.87,36.16,13.7,6.0,4.97,12.74,16.13,0.1,2.94,26.45,55.48,6.03,16.81,17.87,24.06,20.42,38.68,33.74,89.68,66.07
E3,LSU Tigers,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,31,26,5,0.8138,0.5868,0.6435,6375.0,882,1911,1253,669,6375.0,0.534,213,658,0.324,93,554,733,0.756,385,740,1125,407,409,1.0,285,136,574,4,2531,173,2,553,463,0,12,1196,2867,2233.52,0.567,5.58,17.84,14.94,205.6,81.6,12.42,23.87,36.29,13.1,9.19,4.39,13.19,18.52,0.06,3.0,28.45,61.65,6.87,21.23,17.87,23.65,21.58,40.42,38.58,92.48,72.05
W10,Florida Gators,912f8837-1d81-4ef9-a576-a21f271d4c64,31,17,14,0.5238,0.5625,0.5528,6275.0,744,1758,995,489,6275.0,0.491,255,763,0.334,89,374,519,0.721,278,657,935,380,360,1.06,227,119,546,4,2117,130,1,546,296,0,5,786,2259,1986.36,0.533,4.19,17.61,9.55,202.4,68.3,8.97,21.19,30.16,12.3,7.32,3.84,11.61,17.61,0.03,2.87,24.0,56.71,8.23,24.61,12.06,16.74,15.77,32.1,25.35,72.87,64.08
E5,Mississippi State Bulldogs,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,31,22,9,0.6917,0.5792,0.6073,6250.0,852,1809,1107,588,6250.0,0.531,264,702,0.376,112,428,595,0.719,313,712,1025,440,414,1.06,253,158,528,7,2396,262,3,486,407,0,7,970,2734,2070.8,0.579,8.45,15.68,13.13,201.6,77.3,10.1,22.97,33.06,14.2,8.16,5.1,13.35,17.03,0.1,3.61,27.48,58.35,8.52,22.65,13.81,19.19,18.97,35.71,31.29,88.19,66.8
S2,Tennessee Volunteers,b827dbdf-230f-4916-9703-3bb9004e26eb,31,26,4,0.8871,0.5591,0.6411,6275.0,931,1866,1269,721,6275.0,0.568,210,597,0.352,74,480,629,0.763,284,808,1092,575,349,1.65,185,168,544,4,2552,243,3,510,361,0,11,1132,3139,2142.76,0.595,7.84,16.45,11.65,202.4,82.3,9.16,26.06,35.23,18.5,5.97,5.42,11.26,17.55,0.1,2.39,30.03,60.19,6.77,19.26,15.48,20.29,23.26,40.94,36.52,101.26,69.12
S8,Ole Miss Rebels,d7d668ec-edaa-4d6b-be25-2ebba4128643,31,20,11,0.6207,0.5463,0.5649,6225.0,823,1781,1078,569,6225.0,0.528,254,703,0.361,108,456,581,0.785,252,695,947,448,396,1.13,229,110,562,11,2356,220,1,523,349,0,14,900,2611,2036.64,0.578,7.1,16.87,11.26,200.8,76.0,8.13,22.42,30.55,14.5,7.39,3.55,12.77,18.13,0.03,3.48,26.55,57.45,8.19,22.68,14.71,18.74,18.35,34.77,29.03,84.23,65.7
W6,Buffalo Bulls,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,31,27,3,0.9366,0.5247,0.6277,6225.0,943,2037,1160,645,6225.0,0.556,298,877,0.34,94,450,650,0.692,344,819,1163,532,372,1.43,231,122,568,7,2634,544,2,573,400,0,9,1210,3016,2323.0,0.567,17.55,18.48,12.9,200.8,85.0,11.1,26.42,37.52,17.2,7.45,3.94,12.0,18.32,0.06,3.03,30.42,65.71,9.61,28.29,14.52,20.97,20.81,37.42,39.03,97.29,74.94
S3,Purdue Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95,31,23,8,0.776,0.5744,0.6248,6250.0,828,1854,1024,523,6250.0,0.511,305,830,0.367,116,404,554,0.729,332,728,1060,442,332,1.33,203,127,543,3,2365,285,3,433,431,0,8,888,2689,2097.76,0.564,9.19,13.97,13.9,201.6,76.3,10.71,23.48,34.19,14.3,6.55,4.1,10.71,17.52,0.1,3.74,26.71,59.81,9.84,26.77,13.03,17.87,16.87,33.03,28.65,86.74,67.67
E6,Maryland Terrapins,2778d005-cc14-4e58-9bf2-3fc37bffb62f,31,22,9,0.6917,0.575,0.6042,6200.0,789,1727,1090,563,6200.0,0.517,226,637,0.355,107,418,561,0.745,297,824,1121,410,409,1.0,135,147,480,3,2222,322,3,344,330,0,3,958,2545,1973.84,0.563,10.39,11.1,10.65,200.0,71.7,9.58,26.58,36.16,13.2,4.35,4.74,13.19,15.48,0.1,3.45,25.45,55.71,7.29,20.55,13.48,18.1,18.16,35.16,30.9,82.1,63.67
M11,Ohio State Buckeyes,857462b3-0ab6-4d26-9669-10ca354e382b,31,18,13,0.5401,0.5537,0.5503,6225.0,745,1710,1032,516,6225.0,0.5,229,678,0.338,94,430,592,0.726,248,749,997,429,384,1.12,177,78,558,8,2149,222,3,411,315,0,13,852,2319,1970.48,0.545,7.16,13.26,10.16,200.8,69.3,8.0,24.16,32.16,13.8,5.71,2.52,12.39,18.0,0.1,3.03,24.03,55.16,7.39,21.87,13.87,19.1,16.65,33.29,27.48,74.81,63.56
E2,Michigan State Spartans,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,31,25,6,0.8222,0.5603,0.6258,6250.0,873,1786,1112,616,6250.0,0.554,257,674,0.381,90,468,628,0.745,307,890,1197,592,402,1.47,164,173,534,2,2471,520,5,348,361,0,4,1035,3122,2062.32,0.599,16.77,11.23,11.65,201.6,79.7,9.9,28.71,38.61,19.1,5.29,5.58,12.97,17.23,0.16,2.9,28.16,57.61,8.29,21.74,15.1,20.26,19.87,35.87,33.39,100.71,66.53
W2,Michigan Wolverines,bdc2561d-f603-4fab-a262-f1d2af462277,31,26,5,0.8527,0.5479,0.6241,6200.0,795,1770,1069,549,6200.0,0.514,246,701,0.351,103,347,500,0.694,214,778,992,413,279,1.48,190,128,447,6,2183,275,3,397,281,1,3,918,2499,1990.0,0.548,8.87,12.81,9.06,200.0,70.4,6.9,25.1,32.0,13.3,6.13,4.13,9.0,14.42,0.1,3.32,25.65,57.1,7.94,22.61,11.19,16.13,17.71,34.48,29.61,80.61,64.19
